
[2019-5-15 17:06:32][System]初始化完成....
[2019-5-15 17:06:39][Info]任务ID：7 状态变更
[2019-5-15 17:06:40][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:41][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:42][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:43][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:44][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:45][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:46][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:47][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:48][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:49][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:50][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:51][Info]当前任务ID：7 找到符合条件进程
[2019-5-15 17:06:51][Warning]当前任务ID：7 符合触发条件，已执行结束进程：cmd.exe
[2019-5-15 17:06:52][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:53][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:54][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:55][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:56][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:57][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:58][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:06:59][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:00][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:01][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:02][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:03][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:04][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:05][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:06][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:07][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:08][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:09][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:10][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:11][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:12][Info]当前任务ID：7 找到符合条件进程
[2019-5-15 17:07:12][Warning]当前任务ID：7 符合触发条件，已执行结束进程：cmd.exe
[2019-5-15 17:07:13][Info]当前任务ID：7 找到符合条件进程
[2019-5-15 17:07:13][Warning]当前任务ID：7 符合触发条件，已执行结束进程：cmd.exe
[2019-5-15 17:07:14][Info]当前任务ID：7 找到符合条件进程
[2019-5-15 17:07:14][Warning]当前任务ID：7 符合触发条件，已执行结束进程：cmd.exe
[2019-5-15 17:07:15][Info]当前任务ID：7 找到符合条件进程
[2019-5-15 17:07:15][Warning]当前任务ID：7 符合触发条件，已执行结束进程：cmd.exe
[2019-5-15 17:07:16][Info]当前任务ID：7 找到符合条件进程
[2019-5-15 17:07:16][Warning]当前任务ID：7 符合触发条件，已执行结束进程：cmd.exe
[2019-5-15 17:07:17][Info]当前任务ID：7 找到符合条件进程
[2019-5-15 17:07:17][Warning]当前任务ID：7 符合触发条件，已执行结束进程：cmd.exe
[2019-5-15 17:07:18][Info]当前任务ID：7 找到符合条件进程
[2019-5-15 17:07:18][Warning]当前任务ID：7 符合触发条件，已执行结束进程：cmd.exe
[2019-5-15 17:07:19][Info]当前任务ID：7 找到符合条件进程
[2019-5-15 17:07:19][Warning]当前任务ID：7 符合触发条件，已执行结束进程：cmd.exe
[2019-5-15 17:07:20][Info]当前任务ID：7 找到符合条件进程
[2019-5-15 17:07:20][Warning]当前任务ID：7 符合触发条件，已执行结束进程：cmd.exe
[2019-5-15 17:07:21][Info]当前任务ID：7 找到符合条件进程
[2019-5-15 17:07:21][Warning]当前任务ID：7 符合触发条件，已执行结束进程：cmd.exe
[2019-5-15 17:07:22][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:23][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:24][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:25][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:26][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:27][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:28][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:29][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:30][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:31][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:32][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:33][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:34][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:35][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:36][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:37][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:38][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:40][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:41][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:42][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:43][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:44][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:45][Info]当前任务ID：7 未找到符合条件进程
[2019-5-15 17:07:46][System]程序退出
