[18:48:39][系统]系统开始初始化！
[18:48:39][系统]当前启动配置为：Z:\个人数据\编程\易语言编程\源码\Source 全能监控(原Source 进程监控)\1.5.0\Script\4.pms
[18:48:39][系统]任务名：abc
[18:48:39][系统]控制台可见：true
[18:48:39][系统]当前运行模式：群控
[18:48:41][系统]初始化通讯端口：22226 失败
[18:48:41][系统]初始化完成！
[18:48:42][用户]启动监测
[18:48:45][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:48:45][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:48:46][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:48:47][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:48:48][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:48:49][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:48:50][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:48:51][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:48:52][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:48:53][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:48:54][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:48:55][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:48:56][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:48:57][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:48:58][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:48:59][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:49:00][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:49:01][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:49:02][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:49:03][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:49:04][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
[18:49:05][用户]当前系统已使用CPU[100] 超过或达到系统设定阈值[10]
