[10:30:47][系统]系统开始初始化！
[10:30:47][系统]当前启动配置为：Z:\个人数据\编程\易语言编程\源码\Source 全能监控(原Source 进程监控)\1.5.0\Script\4.pms
[10:30:47][系统]任务名：abc
[10:30:47][系统]控制台可见：true
[10:30:47][系统]当前运行模式：群控
[10:30:49][系统]初始化通讯端口：22226 失败
[10:30:49][系统]初始化完成！
[10:30:49][用户]启动监测
[10:30:50][用户]当前系统已使用CPU[99] 超过或达到系统设定阈值[10]
[10:30:51][用户]当前系统已使用CPU[31] 超过或达到系统设定阈值[10]
[10:30:52][用户]当前系统已使用CPU[18] 超过或达到系统设定阈值[10]
[10:30:53][用户]当前系统已使用CPU[20] 超过或达到系统设定阈值[10]
[10:30:54][用户]当前系统已使用CPU[27] 超过或达到系统设定阈值[10]
[10:30:55][用户]当前系统已使用CPU[17] 超过或达到系统设定阈值[10]
[10:30:56][用户]当前系统已使用CPU[14] 超过或达到系统设定阈值[10]
[10:30:57][用户]当前系统已使用CPU[34] 超过或达到系统设定阈值[10]
[10:30:58][用户]当前系统已使用CPU[40] 超过或达到系统设定阈值[10]
[10:30:59][用户]当前系统已使用CPU[12] 超过或达到系统设定阈值[10]
[10:31:00][用户]当前系统已使用CPU[26] 超过或达到系统设定阈值[10]
[10:31:01][用户]当前系统已使用CPU[13] 超过或达到系统设定阈值[10]
[10:31:02][用户]当前系统已使用CPU[23] 超过或达到系统设定阈值[10]
[10:31:03][用户]当前系统已使用CPU[27] 超过或达到系统设定阈值[10]
[10:31:04][用户]当前系统已使用CPU[41] 超过或达到系统设定阈值[10]
[10:31:05][用户]当前系统已使用CPU[36] 超过或达到系统设定阈值[10]
[10:31:06][用户]当前系统已使用CPU[65] 超过或达到系统设定阈值[10]
[10:31:07][用户]当前系统已使用CPU[39] 超过或达到系统设定阈值[10]
[10:31:08][用户]当前系统已使用CPU[25] 超过或达到系统设定阈值[10]
[10:31:09][用户]当前系统已使用CPU[28] 超过或达到系统设定阈值[10]
[10:31:10][用户]当前系统已使用CPU[18] 超过或达到系统设定阈值[10]
[10:31:11][用户]当前系统已使用CPU[22] 超过或达到系统设定阈值[10]
[10:31:12][用户]当前系统已使用CPU[42] 超过或达到系统设定阈值[10]
[10:31:13][用户]当前系统已使用CPU[49] 超过或达到系统设定阈值[10]
[10:31:14][用户]当前系统已使用CPU[27] 超过或达到系统设定阈值[10]
[10:31:15][用户]当前系统已使用CPU[69] 超过或达到系统设定阈值[10]
[10:31:16][用户]当前系统已使用CPU[34] 超过或达到系统设定阈值[10]
[10:31:17][用户]当前系统已使用CPU[18] 超过或达到系统设定阈值[10]
[10:31:18][用户]当前系统已使用CPU[30] 超过或达到系统设定阈值[10]
[10:31:19][用户]当前系统已使用CPU[22] 超过或达到系统设定阈值[10]
[10:31:20][用户]当前系统已使用CPU[12] 超过或达到系统设定阈值[10]
[10:31:21][用户]当前系统已使用CPU[35] 超过或达到系统设定阈值[10]
[10:31:22][用户]当前系统已使用CPU[16] 超过或达到系统设定阈值[10]
[10:31:23][用户]当前系统已使用CPU[20] 超过或达到系统设定阈值[10]
[10:31:24][用户]当前系统已使用CPU[23] 超过或达到系统设定阈值[10]
[10:31:25][用户]当前系统已使用CPU[18] 超过或达到系统设定阈值[10]
[10:31:26][用户]当前系统已使用CPU[18] 超过或达到系统设定阈值[10]
[10:31:27][用户]当前系统已使用CPU[29] 超过或达到系统设定阈值[10]
[10:31:28][用户]当前系统已使用CPU[26] 超过或达到系统设定阈值[10]
[10:31:29][用户]当前系统已使用CPU[12] 超过或达到系统设定阈值[10]
[10:31:30][用户]当前系统已使用CPU[21] 超过或达到系统设定阈值[10]
[10:31:31][用户]当前系统已使用CPU[16] 超过或达到系统设定阈值[10]
[10:31:32][用户]当前系统已使用CPU[10] 超过或达到系统设定阈值[10]
[10:31:33][用户]当前系统已使用CPU[28] 超过或达到系统设定阈值[10]
[10:31:34][用户]当前系统已使用CPU[14] 超过或达到系统设定阈值[10]
[10:31:35][用户]当前系统已使用CPU[44] 超过或达到系统设定阈值[10]
[10:31:36][用户]当前系统已使用CPU[57] 超过或达到系统设定阈值[10]
[10:31:37][用户]当前系统已使用CPU[40] 超过或达到系统设定阈值[10]
[10:31:38][用户]当前系统已使用CPU[28] 超过或达到系统设定阈值[10]
[10:31:39][用户]当前系统已使用CPU[48] 超过或达到系统设定阈值[10]
[10:31:40][用户]当前系统已使用CPU[39] 超过或达到系统设定阈值[10]
[10:31:41][用户]当前系统已使用CPU[32] 超过或达到系统设定阈值[10]
[10:31:42][用户]当前系统已使用CPU[22] 超过或达到系统设定阈值[10]
[10:31:43][用户]当前系统已使用CPU[12] 超过或达到系统设定阈值[10]
[10:31:44][用户]当前系统已使用CPU[13] 超过或达到系统设定阈值[10]
[10:31:45][用户]当前系统已使用CPU[27] 超过或达到系统设定阈值[10]
[10:31:46][用户]当前系统已使用CPU[17] 超过或达到系统设定阈值[10]
[10:31:47][用户]当前系统已使用CPU[10] 超过或达到系统设定阈值[10]
[10:31:48][用户]当前系统已使用CPU[36] 超过或达到系统设定阈值[10]
[10:31:49][用户]当前系统已使用CPU[14] 超过或达到系统设定阈值[10]
[10:31:50][用户]当前系统已使用CPU[22] 超过或达到系统设定阈值[10]
[10:31:51][用户]当前系统已使用CPU[31] 超过或达到系统设定阈值[10]
[10:31:52][用户]当前系统已使用CPU[19] 超过或达到系统设定阈值[10]
[10:31:53][用户]当前系统已使用CPU[17] 超过或达到系统设定阈值[10]
[10:31:54][用户]当前系统已使用CPU[26] 超过或达到系统设定阈值[10]
[10:31:55][用户]当前系统已使用CPU[15] 超过或达到系统设定阈值[10]
[10:31:56][用户]当前系统已使用CPU[14] 超过或达到系统设定阈值[10]
[10:31:57][用户]当前系统已使用CPU[23] 超过或达到系统设定阈值[10]
[10:31:58][用户]当前系统已使用CPU[15] 超过或达到系统设定阈值[10]
[10:31:59][用户]当前系统已使用CPU[19] 超过或达到系统设定阈值[10]
[10:32:00][用户]当前系统已使用CPU[26] 超过或达到系统设定阈值[10]
[10:32:01][用户]当前系统已使用CPU[17] 超过或达到系统设定阈值[10]
[10:32:03][用户]当前系统已使用CPU[23] 超过或达到系统设定阈值[10]
[10:32:05][用户]当前系统已使用CPU[11] 超过或达到系统设定阈值[10]
[10:32:06][用户]当前系统已使用CPU[28] 超过或达到系统设定阈值[10]
[10:32:07][用户]当前系统已使用CPU[17] 超过或达到系统设定阈值[10]
[10:32:08][用户]当前系统已使用CPU[13] 超过或达到系统设定阈值[10]
[10:32:09][用户]当前系统已使用CPU[27] 超过或达到系统设定阈值[10]
[10:32:10][用户]当前系统已使用CPU[14] 超过或达到系统设定阈值[10]
[10:32:11][用户]当前系统已使用CPU[23] 超过或达到系统设定阈值[10]
[10:32:12][用户]当前系统已使用CPU[28] 超过或达到系统设定阈值[10]
[10:32:13][用户]当前系统已使用CPU[12] 超过或达到系统设定阈值[10]
[10:32:14][用户]当前系统已使用CPU[14] 超过或达到系统设定阈值[10]
[10:32:15][用户]当前系统已使用CPU[21] 超过或达到系统设定阈值[10]
[10:32:16][用户]当前系统已使用CPU[12] 超过或达到系统设定阈值[10]
[10:32:17][用户]当前系统已使用CPU[14] 超过或达到系统设定阈值[10]
[10:32:18][用户]当前系统已使用CPU[25] 超过或达到系统设定阈值[10]
[10:32:20][用户]当前系统已使用CPU[18] 超过或达到系统设定阈值[10]
[10:32:21][用户]当前系统已使用CPU[34] 超过或达到系统设定阈值[10]
[10:32:23][用户]当前系统已使用CPU[17] 超过或达到系统设定阈值[10]
[10:32:24][用户]当前系统已使用CPU[26] 超过或达到系统设定阈值[10]
[10:32:25][用户]当前系统已使用CPU[12] 超过或达到系统设定阈值[10]
[10:32:26][用户]当前系统已使用CPU[20] 超过或达到系统设定阈值[10]
[10:32:27][用户]当前系统已使用CPU[21] 超过或达到系统设定阈值[10]
[10:32:28][用户]当前系统已使用CPU[11] 超过或达到系统设定阈值[10]
[10:32:29][用户]当前系统已使用CPU[12] 超过或达到系统设定阈值[10]
[10:32:30][用户]当前系统已使用CPU[24] 超过或达到系统设定阈值[10]
[10:32:31][用户]当前系统已使用CPU[19] 超过或达到系统设定阈值[10]
[10:32:32][用户]当前系统已使用CPU[19] 超过或达到系统设定阈值[10]
[10:32:33][用户]当前系统已使用CPU[24] 超过或达到系统设定阈值[10]
