[21:13:25][系统] 系统开始初始化！
[21:13:25][系统] 当前启动配置为：Z:\个人数据\编程\易语言编程\源码\Source 全能监控(原Source 进程监控)\1.5.0\Script\5.pms
[21:13:26][系统] 任务名：132
[21:13:26][系统] 控制台可见：true
[21:13:27][系统] 当前运行模式：群控
[21:13:27][系统] 初始化通讯端口：22226 成功
[21:13:27][系统] 初始化完成！
[21:13:28][用户] 启动监测
[21:13:31][用户] 当前系统已使用内存[85] 超过或达到系统设定阈值[50]
[21:13:31][用户] 当前系统已使用内存[85] 超过或达到系统设定阈值[50]
[21:13:32][用户] 当前系统已使用内存[85] 超过或达到系统设定阈值[50]
[21:13:33][用户] 当前系统已使用内存[86] 超过或达到系统设定阈值[50]
[21:13:34][用户] 当前系统已使用内存[86] 超过或达到系统设定阈值[50]
[21:13:35][用户] 当前系统已使用内存[86] 超过或达到系统设定阈值[50]
[21:13:36][用户] 当前系统已使用内存[86] 超过或达到系统设定阈值[50]
[21:13:37][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[21:13:38][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[21:13:39][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[21:13:40][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[21:13:41][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[21:13:42][用户] 当前系统已使用内存[86] 超过或达到系统设定阈值[50]
[21:13:43][用户] 当前系统已使用内存[86] 超过或达到系统设定阈值[50]
[21:13:44][用户] 当前系统已使用内存[86] 超过或达到系统设定阈值[50]
[21:13:45][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[21:13:46][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[21:13:47][用户] 当前系统已使用内存[87] 超过或达到系统设定阈值[50]
[21:13:48][用户] 当前系统已使用内存[82] 超过或达到系统设定阈值[50]
[21:13:49][用户] 当前系统已使用内存[81] 超过或达到系统设定阈值[50]
[21:13:50][用户] 当前系统已使用内存[81] 超过或达到系统设定阈值[50]
[21:13:51][用户] 当前系统已使用内存[81] 超过或达到系统设定阈值[50]
[21:13:52][用户] 当前系统已使用内存[82] 超过或达到系统设定阈值[50]
[21:13:53][用户] 当前系统已使用内存[82] 超过或达到系统设定阈值[50]
[21:13:54][用户] 当前系统已使用内存[82] 超过或达到系统设定阈值[50]
[21:13:55][用户] 当前系统已使用内存[82] 超过或达到系统设定阈值[50]
[21:13:56][用户] 当前系统已使用内存[83] 超过或达到系统设定阈值[50]
[21:13:57][用户] 当前系统已使用内存[83] 超过或达到系统设定阈值[50]
[21:13:58][用户] 当前系统已使用内存[83] 超过或达到系统设定阈值[50]
[21:13:59][用户] 当前系统已使用内存[83] 超过或达到系统设定阈值[50]
[21:14:00][用户] 当前系统已使用内存[83] 超过或达到系统设定阈值[50]
[21:14:01][用户] 当前系统已使用内存[83] 超过或达到系统设定阈值[50]
[21:14:02][用户] 当前系统已使用内存[84] 超过或达到系统设定阈值[50]
[21:14:03][用户] 当前系统已使用内存[84] 超过或达到系统设定阈值[50]
[21:14:04][用户] 当前系统已使用内存[84] 超过或达到系统设定阈值[50]
[21:14:05][用户] 当前系统已使用内存[84] 超过或达到系统设定阈值[50]
[21:14:06][用户] 当前系统已使用内存[84] 超过或达到系统设定阈值[50]
[21:14:07][用户] 当前系统已使用内存[85] 超过或达到系统设定阈值[50]
[21:14:08][用户] 当前系统已使用内存[85] 超过或达到系统设定阈值[50]
[21:14:09][用户] 当前系统已使用内存[85] 超过或达到系统设定阈值[50]
[21:14:10][用户] 当前系统已使用内存[85] 超过或达到系统设定阈值[50]
[21:14:11][用户] 当前系统已使用内存[85] 超过或达到系统设定阈值[50]
[21:14:12][用户] 当前系统已使用内存[86] 超过或达到系统设定阈值[50]
[21:14:13][用户] 当前系统已使用内存[86] 超过或达到系统设定阈值[50]
[21:14:14][用户] 当前系统已使用内存[86] 超过或达到系统设定阈值[50]
[21:14:15][用户] 当前系统已使用内存[86] 超过或达到系统设定阈值[50]
[21:14:16][用户] 当前系统已使用内存[85] 超过或达到系统设定阈值[50]
[21:14:17][用户] 当前系统已使用内存[85] 超过或达到系统设定阈值[50]
[21:14:18][用户] 当前系统已使用内存[81] 超过或达到系统设定阈值[50]
[21:14:19][用户] 当前系统已使用内存[79] 超过或达到系统设定阈值[50]
[21:14:20][用户] 当前系统已使用内存[79] 超过或达到系统设定阈值[50]
[21:14:21][用户] 当前系统已使用内存[79] 超过或达到系统设定阈值[50]
[21:14:22][用户] 当前系统已使用内存[80] 超过或达到系统设定阈值[50]
[21:14:23][用户] 当前系统已使用内存[80] 超过或达到系统设定阈值[50]
[21:14:24][用户] 当前系统已使用内存[80] 超过或达到系统设定阈值[50]
[21:14:25][用户] 当前系统已使用内存[80] 超过或达到系统设定阈值[50]
[21:14:26][用户] 当前系统已使用内存[80] 超过或达到系统设定阈值[50]
[21:14:27][用户] 当前系统已使用内存[80] 超过或达到系统设定阈值[50]
[21:14:28][用户] 当前系统已使用内存[80] 超过或达到系统设定阈值[50]
