[21:23:49][系统] 系统开始初始化！
[21:23:49][系统] 当前启动配置为：Z:\个人数据\编程\易语言编程\源码\Source 全能监控(原Source 进程监控)\1.5.0\Script\5.pms
[21:23:49][系统] 任务名：132
[21:23:49][系统] 控制台可见：true
[21:23:49][系统] 当前运行模式：群控
[21:23:49][系统] 初始化通讯端口：22226 成功
[21:23:49][系统] 初始化完成！
[21:23:49][用户] 启动监测
[21:24:03][用户] 当前系统已使用内存[51] 超过或达到系统设定阈值[50]
[21:24:04][用户] 当前系统已使用内存[54] 超过或达到系统设定阈值[50]
[21:24:05][用户] 当前系统已使用内存[55] 超过或达到系统设定阈值[50]
[21:24:06][用户] 当前系统已使用内存[55] 超过或达到系统设定阈值[50]
[21:24:07][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:24:08][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:24:09][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:24:10][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:24:11][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:24:12][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:24:13][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:24:14][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:24:15][用户] 当前系统已使用内存[57] 超过或达到系统设定阈值[50]
[21:24:16][用户] 当前系统已使用内存[57] 超过或达到系统设定阈值[50]
[21:24:17][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:24:18][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:24:19][用户] 当前系统已使用内存[57] 超过或达到系统设定阈值[50]
[21:24:20][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:24:21][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:24:22][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:24:23][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:24:24][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:24:25][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:24:26][用户] 当前系统已使用内存[55] 超过或达到系统设定阈值[50]
[21:24:27][用户] 当前系统已使用内存[54] 超过或达到系统设定阈值[50]
[21:25:25][用户] 当前系统已使用内存[51] 超过或达到系统设定阈值[50]
[21:25:26][用户] 当前系统已使用内存[53] 超过或达到系统设定阈值[50]
[21:25:27][用户] 当前系统已使用内存[54] 超过或达到系统设定阈值[50]
[21:25:28][用户] 当前系统已使用内存[54] 超过或达到系统设定阈值[50]
[21:25:29][用户] 当前系统已使用内存[55] 超过或达到系统设定阈值[50]
[21:25:30][用户] 当前系统已使用内存[54] 超过或达到系统设定阈值[50]
[21:25:31][用户] 当前系统已使用内存[55] 超过或达到系统设定阈值[50]
[21:25:32][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:25:33][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:25:34][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:25:35][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:25:36][用户] 当前系统已使用内存[57] 超过或达到系统设定阈值[50]
[21:25:37][用户] 当前系统已使用内存[58] 超过或达到系统设定阈值[50]
[21:25:38][用户] 当前系统已使用内存[58] 超过或达到系统设定阈值[50]
[21:25:39][用户] 当前系统已使用内存[58] 超过或达到系统设定阈值[50]
[21:25:40][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:25:41][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:25:42][用户] 当前系统已使用内存[56] 超过或达到系统设定阈值[50]
[21:25:43][用户] 当前系统已使用内存[55] 超过或达到系统设定阈值[50]
[21:25:44][用户] 当前系统已使用内存[50] 超过或达到系统设定阈值[50]
